City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,pergamos,35.0417,33.7083,27.97,67,0,2.16,GB,1722658013
351,chernyshevskiy,63.0128,112.4714,20.68,34,33,1.39,RU,1722658013
352,port-vila,-17.7338,168.3219,22.4,80,100,5.76,VU,1722658013
353,minas de marcona,-15.2119,-75.1103,9.82,92,32,5.46,PE,1722658013
354,nizhnesortymskiy,62.4397,71.7603,20.6,79,99,4.52,RU,1722658013
355,southeast arcadia,27.1863,-81.8521,26.57,97,68,0.45,US,1722658013
356,puerto deseado,-47.7503,-65.8938,6.81,74,0,5.02,AR,1722658013
357,pontianak,-0.0333,109.3333,27.99,83,40,1.03,ID,1722657754
358,iquique,-20.2208,-70.1431,17.02,72,29,1.59,CL,1722658014
359,adrar,20.5022,-10.0711,32.86,33,68,4.72,MR,1722658014
360,san luis de la loma,17.2706,-100.8939,25.6,89,100,3.02,MX,1722658014
361,wotho,10.1657,166.0102,28.9,74,70,3.93,MH,1722658014
362,perbaungan,3.5679,98.956,33.34,71,90,1.75,ID,1722658014
